Table 4-1:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,PFCs,24.3,20.9,19.5,19.5,18,18.6,19.9,18.3,17,16.9,15.9,8.2,10.2,8.2,6.8,6.7,6.4,7.8,6.1,3.9,4.6,6.9,6,5.8,5.8,5.2
,Semiconductor Manufacture,2.8,2.8,2.8,3.5,3.9,4.9,5.4,5.7,7,7.1,6,4.2,4.1,3.8,3.5,3.2,3.4,3.3,3,2.1,2.7,3.4,3,2.8,3.2,3.2
,Aluminum Production,21.5,18.1,16.7,16,14.1,13.8,14.5,12.6,10,9.8,9.9,4,6.1,4.4,3.3,3.4,2.9,4.5,3.2,1.9,1.9,3.5,2.9,3,2.5,2
,Substitution of Ozone Depleting Substancesa,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
,SF6,28.8,27.6,27.8,27.3,26,24.8,24.3,22.6,19.9,19.6,16.6,15.4,14.3,13.8,12.4,11.7,10.4,9.2,8.3,7.9,8.4,9.2,6.8,6.4,6.6,5.8
,Electrical Transmission and Distribution,23.1,22.1,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.9,9.9,9.1,8.3,6.9,6.2,6.1,6,5.9,6,4.8,4.6,4.8,4.2
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.6,1.5,1,0.9
,Semiconductor Manufacture,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.2,1.3,1,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.7,0.7
,NF3,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.7,0.6,0.6,0.5,0.6
,Semiconductor Manufacture,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.7,0.6,0.6,0.5,0.6
,Total,340.4,321.1,327,326.7,337.7,368.2,380.1,385,392.2,386.4,385,346.7,355.6,340.1,353,353.4,362.3,380.5,357.8,310.3,353.2,371,360.9,363.7,379.8,375.9
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,
